order_id,order_date,product,category,quantity,sales,region
ORD100090,2025-10-27,Electronics,Electronics,5.0,6000.0,Ghana
ORD100091,2025-07-07,Groceries,Groceries,-1.0,-1500.0,United Kingdom
ORD100092,2024-09-27,Electronics,Electronics,5.0,7500.0,Ghana
ORD100093,2025-04-07,Fashion,Fashion,1.0,500.0,Ghana
ORD100094,2024-06-09,Electronics,Electronics,1.0,500.0,Nigeria
ORD100095,2026-02-01,Fashion,Fashion,4.0,1999.96,Nigeria
ORD100096,2026-01-09,electronics,electronics,5.0,2500.0,Nigeria
ORD100097,2024-11-06,electronics,electronics,2.0,,Nigeria
ORD100098,2024-03-01,Fashion,Fashion,5.0,,Ghana
ORD100099,2024-05-12,Electronics,Electronics,3.0,4500.0,USA
ORD100100,2025-11-07,Groceries,Groceries,3.0,1499.97,Nigeria
ORD100101,2024-02-26,Groceries,Groceries,2.0,1000.0,United States
ORD100102,2025-03-08,Electronics,Electronics,2.0,1000.0,Nigeria
ORD100103,2025-06-16,electronics,electronics,,,United States
ORD100104,2024-06-10,Groceries,Groceries,1.0,2500.0,Nigeria
ORD100105,2024-06-15,Groceries,Groceries,1.0,2500.0,Ghana
ORD100106,2024-06-12,Home,Home,3.0,7500.0,Ghana
ORD100107,2024-02-29,Electronics,Electronics,1.0,1200.0,United States
ORD100108,2024-11-26,Fashion,Fashion,1.0,499.99,Nigeria
ORD100109,2025-02-14,Groceries,Groceries,5.0,6000.0,United States
ORD100110,2024-11-13,Fashion,Fashion,2.0,,Nigeria
ORD100111,2024-03-04,Groceries,Groceries,5.0,2500.0,nigeria
ORD100112,2025-04-17,electronics,electronics,5.0,2500.0,United States
ORD100113,2025-06-06,Electronics,Electronics,3.0,1500.0,Turkey
ORD100114,2024-07-26,electronics,electronics,3.0,3600.0,nigeria
ORD100115,2025-03-05,Electronics,Electronics,2.0,1000.0,Ghana
ORD100116,2025-01-03,Electronics,Electronics,5.0,2500.0,nigeria
ORD100117,2024-08-30,electronics,electronics,1.0,500.0,United States
ORD100118,2025-06-20,Groceries,Groceries,4.0,6000.0,nigeria
ORD100119,2025-05-08,Fashion,Fashion,2.0,2400.0,nigeria
ORD100120,2025-10-08,Electronics,Electronics,1.0,1200.0,Nigeria
ORD100121,2025-07-17,electronics,electronics,2.0,1000.0,United Kingdom
ORD100122,2025-03-01,Groceries,Groceries,2.0,,United States
ORD100123,2024-03-25,Home,Home,3.0,,Nigeria
ORD100124,2025-04-02,Fashion,Fashion,1.0,500.0,Nigeria
ORD100125,2025-09-21,Electronics,Electronics,3.0,1500.0,Nigeria
ORD100126,2024-04-11,Fashion,Fashion,2.0,,United States
ORD100127,2024-12-20,Electronics,Electronics,2.0,1000.0,Ghana
ORD100128,2025-06-11,Fashion,Fashion,2.0,999.98,Nigeria
ORD100129,2025-03-13,Fashion,Fashion,5.0,7500.0,Turkey
ORD100130,2024-03-13,Electronics,Electronics,2.0,1000.0,Nigeria
ORD100131,2024-07-26,Groceries,Groceries,1.0,500.0,Turkey
ORD100132,2025-08-03,Electronics,Electronics,3.0,1500.0,Turkey
ORD100133,2024-03-05,Groceries,Groceries,1.0,500.0,Nigeria
ORD100134,2026-02-05,Home,Home,,,United Kingdom
ORD100135,2025-03-12,Electronics,Electronics,2.0,1000.0,United Kingdom
ORD100136,2025-01-10,Electronics,Electronics,1.0,1200.0,United Kingdom
ORD100137,2025-03-23,Home,Home,4.0,6000.0,USA
ORD100138,2024-06-06,Electronics,Electronics,1.0,1500.0,USA
ORD100139,2025-06-04,Groceries,Groceries,3.0,7500.0,United States
ORD100140,,Groceries,Groceries,-1.0,-1500.0,Ghana
ORD100141,2025-10-20,Fashion,Fashion,5.0,7500.0,Nigeria
ORD100142,2024-07-06,electronics,electronics,1.0,500.0,Ghana
ORD100143,2025-05-28,Groceries,Groceries,1.0,1200.0,United Kingdom
ORD100144,2025-05-14,Fashion,Fashion,2.0,3000.0,nigeria
ORD100145,2024-11-06,electronics,electronics,2.0,3000.0,Nigeria
ORD100146,2025-12-01,Home,Home,4.0,,United States
ORD100147,2025-02-12,Groceries,Groceries,5.0,6000.0,Nigeria
ORD100148,2025-09-14,Home,Home,1.0,2500.0,nigeria
ORD100149,2025-10-18,Groceries,Groceries,2.0,5000.0,USA
ORD100150,2025-06-22,Electronics,Electronics,3.0,4500.0,Nigeria
ORD100151,2024-05-25,Groceries,Groceries,4.0,4800.0,Nigeria
ORD100152,2025-07-12,Groceries,Groceries,4.0,1999.96,nigeria
ORD100153,2025-01-05,Fashion,Fashion,2.0,1000.0,United States
ORD100154,2025-07-08,Groceries,Groceries,3.0,1500.0,Ghana
ORD100155,2025-03-24,Home,Home,2.0,3000.0,USA
ORD100156,2024-08-13,Groceries,Groceries,1.0,500.0,USA
ORD100157,2024-06-25,electronics,electronics,1.0,,Nigeria
ORD100158,2025-02-19,electronics,electronics,3.0,1500.0,Ghana
ORD100159,2024-07-16,Home,Home,,,USA
ORD100160,2024-09-03,electronics,electronics,2.0,2400.0,USA
ORD100161,2025-08-26,Electronics,Electronics,2.0,5000.0,United States
ORD100162,,Electronics,Electronics,1.0,500.0,United States
ORD100163,2025-12-10,Groceries,Groceries,,,Turkey
ORD100164,2024-05-12,Fashion,Fashion,1.0,1200.0,Nigeria
ORD100165,2025-12-02,Electronics,Electronics,1.0,500.0,Ghana
ORD100166,2025-12-07,Home,Home,,,Nigeria
ORD100167,2025-01-09,Fashion,Fashion,1.0,1200.0,Nigeria
ORD100168,2025-08-29,Electronics,Electronics,2.0,1000.0,Nigeria
ORD100169,2024-04-26,Electronics,Electronics,2.0,1000.0,Ghana
ORD100170,2024-09-09,Fashion,Fashion,1.0,1500.0,Turkey
ORD100171,2025-10-05,electronics,electronics,1.0,1500.0,USA
ORD100172,2024-07-23,Electronics,Electronics,5.0,7500.0,Nigeria
ORD100173,2024-10-08,Home,Home,2.0,3000.0,Nigeria
ORD100174,2024-03-27,Fashion,Fashion,1.0,500.0,United States
ORD100175,2024-12-19,electronics,electronics,4.0,6000.0,United Kingdom
ORD100176,2024-03-01,Home,Home,1.0,1200.0,Turkey
ORD100177,2025-01-31,Electronics,Electronics,2.0,,United States
ORD100178,2025-06-07,electronics,electronics,2.0,2400.0,nigeria
ORD100179,2025-07-14,Fashion,Fashion,2.0,999.98,Nigeria
ORD100180,2025-01-04,electronics,electronics,,,United States
ORD100181,2025-02-26,Groceries,Groceries,,,Nigeria
ORD100182,2024-03-17,Electronics,Electronics,4.0,10000.0,USA
ORD100183,2024-10-03,electronics,electronics,2.0,2400.0,USA
ORD100184,2025-11-05,Groceries,Groceries,4.0,1999.96,United Kingdom
ORD100185,2026-02-13,Groceries,Groceries,3.0,7500.0,nigeria
ORD100186,2025-08-30,electronics,electronics,,,United States
ORD100187,2024-04-10,electronics,electronics,1.0,2500.0,USA
ORD100188,2024-08-24,Home,Home,4.0,10000.0,Turkey
ORD100189,2025-04-27,Home,Home,4.0,4800.0,United States
ORD100190,2024-06-06,Fashion,Fashion,1.0,1200.0,United States
ORD100191,2024-12-31,Fashion,Fashion,1.0,,United Kingdom
ORD100192,2024-10-11,Electronics,Electronics,1.0,499.99,Nigeria
ORD100193,2026-01-07,Groceries,Groceries,,,United States
ORD100194,2025-02-16,electronics,electronics,3.0,1499.97,Nigeria
ORD100195,2024-06-10,Home,Home,2.0,3000.0,United States
ORD100196,2024-07-21,Groceries,Groceries,4.0,2000.0,USA
ORD100197,2026-02-16,Electronics,Electronics,5.0,2500.0,United States
ORD100198,2024-08-08,Electronics,Electronics,1.0,500.0,Turkey
ORD100199,2024-08-12,Groceries,Groceries,3.0,1499.97,Nigeria
ORD100200,2025-05-15,Electronics,Electronics,3.0,1500.0,Nigeria
ORD100201,2025-08-03,Groceries,Groceries,2.0,2400.0,Nigeria
ORD100202,2024-04-06,Electronics,Electronics,1.0,1500.0,Turkey
ORD100203,2024-05-25,electronics,electronics,-1.0,-1200.0,Nigeria
ORD100204,2025-08-17,electronics,electronics,1.0,2500.0,Nigeria
ORD100205,2025-01-14,Groceries,Groceries,-1.0,,Turkey
ORD100206,2025-10-05,Groceries,Groceries,2.0,5000.0,United States
ORD100207,,Groceries,Groceries,4.0,4800.0,Nigeria
ORD100208,2024-03-12,Electronics,Electronics,2.0,,United States
ORD100209,2025-07-19,Home,Home,2.0,,Nigeria
ORD100210,2025-12-08,Electronics,Electronics,1.0,500.0,Ghana
ORD100211,2026-02-07,electronics,electronics,1.0,2500.0,United States
ORD100212,2024-02-21,Groceries,Groceries,2.0,5000.0,USA
ORD100213,2025-09-08,Groceries,Groceries,2.0,5000.0,Ghana
ORD100214,2025-07-08,Fashion,Fashion,1.0,499.99,Nigeria
ORD100215,2025-02-27,Home,Home,,,United Kingdom
ORD100216,2025-07-28,Fashion,Fashion,1.0,499.99,nigeria
ORD100217,2024-11-25,Electronics,Electronics,1.0,500.0,nigeria
ORD100218,2024-12-05,electronics,electronics,2.0,3000.0,Ghana
ORD100219,2025-06-21,Fashion,Fashion,2.0,1000.0,nigeria
ORD100220,2024-08-07,Electronics,Electronics,2.0,999.98,Nigeria
ORD100221,2025-09-01,Home,Home,4.0,4800.0,Nigeria
ORD100222,2025-03-06,Electronics,Electronics,2.0,3000.0,Turkey
ORD100223,2025-11-19,Groceries,Groceries,3.0,1500.0,Turkey
ORD100224,2025-02-16,Groceries,Groceries,4.0,4800.0,United States
ORD100225,2024-08-21,Electronics,Electronics,-1.0,-500.0,United Kingdom
ORD100226,2025-11-13,Groceries,Groceries,1.0,500.0,Ghana
ORD100227,2025-04-20,electronics,electronics,1.0,2500.0,USA
ORD100228,2024-07-28,Fashion,Fashion,1.0,499.99,United States
ORD100229,2025-04-08,Electronics,Electronics,-1.0,-1200.0,Turkey
ORD100230,2025-09-10,Electronics,Electronics,3.0,1500.0,nigeria
ORD100231,2025-08-14,Home,Home,1.0,499.99,United States
ORD100232,2024-03-16,Groceries,Groceries,5.0,6000.0,Nigeria
ORD100233,2024-11-15,Electronics,Electronics,1.0,2500.0,Turkey
ORD100234,2026-01-06,electronics,electronics,1.0,1500.0,USA
ORD100235,,Electronics,Electronics,1.0,500.0,Nigeria
ORD100236,2025-06-08,Home,Home,2.0,5000.0,USA
ORD100237,2025-11-29,Fashion,Fashion,4.0,10000.0,Nigeria
ORD100238,2024-03-29,Electronics,Electronics,4.0,6000.0,Turkey
ORD100239,2025-04-27,Groceries,Groceries,4.0,10000.0,USA
ORD100240,2024-04-18,Home,Home,5.0,2499.95,USA
ORD100241,2024-06-04,Fashion,Fashion,2.0,3000.0,Nigeria
ORD100242,2025-03-16,Electronics,Electronics,1.0,499.99,USA
ORD100243,2026-01-30,Electronics,Electronics,3.0,3600.0,Turkey
ORD100244,2025-11-08,Groceries,Groceries,1.0,,nigeria
ORD100245,2024-02-26,Electronics,Electronics,,,United Kingdom
ORD100246,2025-09-12,Groceries,Groceries,-1.0,-1500.0,Nigeria
ORD100247,2025-12-22,Fashion,Fashion,2.0,1000.0,United Kingdom
ORD100248,2026-01-28,Electronics,Electronics,3.0,7500.0,Turkey
ORD100249,2024-02-21,Home,Home,5.0,12500.0,Ghana
ORD100250,2024-08-19,Fashion,Fashion,3.0,4500.0,United States
ORD100251,2026-02-02,Home,Home,-1.0,-1200.0,nigeria
ORD100252,2026-02-11,Home,Home,,,Turkey
ORD100253,2025-02-18,Groceries,Groceries,3.0,1500.0,Ghana
ORD100254,2025-09-12,Electronics,Electronics,2.0,,Turkey
ORD100255,,Electronics,Electronics,2.0,,nigeria
ORD100256,2025-04-30,Electronics,Electronics,1.0,1500.0,nigeria
ORD100257,2025-11-25,Fashion,Fashion,-1.0,-500.0,Nigeria
ORD100258,2026-01-01,Fashion,Fashion,4.0,6000.0,Ghana
ORD100259,2024-10-19,Electronics,Electronics,1.0,2500.0,Ghana
ORD100260,2024-04-02,Electronics,Electronics,1.0,2500.0,United States
ORD100261,2024-07-17,Home,Home,2.0,999.98,Nigeria
ORD100262,2024-08-02,electronics,electronics,,,Nigeria
ORD100263,2024-05-19,Home,Home,,,Turkey
ORD100264,2025-10-13,Home,Home,,,United States
ORD100265,2025-11-28,Electronics,Electronics,2.0,1000.0,Nigeria
ORD100266,2025-07-09,Electronics,Electronics,2.0,999.98,Nigeria
ORD100267,2024-07-18,Home,Home,5.0,6000.0,Ghana
ORD100268,,Fashion,Fashion,2.0,,nigeria
ORD100269,2025-10-19,Groceries,Groceries,4.0,2000.0,United Kingdom
ORD100270,2024-05-27,Fashion,Fashion,1.0,1200.0,nigeria
ORD100271,2025-08-29,electronics,electronics,3.0,1500.0,Turkey
ORD100272,2025-12-22,Electronics,Electronics,,,USA
ORD100273,,Fashion,Fashion,,,Nigeria
ORD100274,2024-11-07,electronics,electronics,5.0,2500.0,Turkey
ORD100275,2025-06-13,Groceries,Groceries,1.0,,Nigeria
ORD100276,2024-08-18,electronics,electronics,1.0,1500.0,Nigeria
ORD100277,2024-09-13,Electronics,Electronics,2.0,1000.0,Nigeria
ORD100278,2024-02-28,Groceries,Groceries,2.0,5000.0,Turkey
ORD100279,2025-12-19,Electronics,Electronics,-1.0,-499.99,Nigeria
ORD100280,2025-08-01,Groceries,Groceries,1.0,,United States
ORD100281,2024-09-10,Groceries,Groceries,2.0,3000.0,Nigeria
ORD100282,2025-08-28,Groceries,Groceries,4.0,10000.0,Turkey
ORD100283,2025-03-23,electronics,electronics,1.0,500.0,Ghana
ORD100284,2024-06-05,Groceries,Groceries,1.0,1200.0,Nigeria
ORD100285,2025-06-19,Electronics,Electronics,-1.0,,USA
ORD100286,2024-11-01,Groceries,Groceries,1.0,500.0,Nigeria
ORD100287,2025-01-05,Fashion,Fashion,3.0,1500.0,United States
ORD100288,2025-08-28,Electronics,Electronics,5.0,12500.0,Nigeria
ORD100289,2024-07-31,Fashion,Fashion,2.0,999.98,Nigeria
ORD100290,2025-01-20,electronics,electronics,5.0,7500.0,United States
ORD100291,2024-05-17,Groceries,Groceries,5.0,7500.0,Nigeria
ORD100292,2024-06-28,Fashion,Fashion,4.0,4800.0,Nigeria
ORD100293,2024-09-05,electronics,electronics,,,United Kingdom
ORD100294,2024-07-16,Home,Home,3.0,1500.0,Ghana
ORD100295,2025-10-17,Fashion,Fashion,4.0,2000.0,USA
ORD100296,2024-06-08,Electronics,Electronics,2.0,,USA
ORD100297,2025-07-20,Electronics,Electronics,3.0,1500.0,Nigeria
ORD100298,2024-07-04,Groceries,Groceries,,,United Kingdom
ORD100299,2024-05-30,Fashion,Fashion,-1.0,-1200.0,Ghana
ORD100300,2024-09-23,Electronics,Electronics,2.0,2400.0,Nigeria
ORD100301,2024-11-25,Electronics,Electronics,4.0,1999.96,Turkey
ORD100302,2025-02-14,electronics,electronics,1.0,1200.0,United States
ORD100303,2025-09-24,Home,Home,3.0,7500.0,Ghana
ORD100304,2024-10-26,Fashion,Fashion,3.0,1500.0,United States
ORD100305,2025-12-25,Home,Home,,,Nigeria
ORD100306,2025-10-13,electronics,electronics,1.0,500.0,United Kingdom
ORD100307,2024-02-21,electronics,electronics,5.0,6000.0,Ghana
ORD100308,2026-02-17,Electronics,Electronics,2.0,1000.0,USA
ORD100309,2025-08-10,Electronics,Electronics,2.0,5000.0,United Kingdom
ORD100310,2025-08-31,electronics,electronics,3.0,,nigeria
ORD100311,2025-05-01,Groceries,Groceries,,,USA
ORD100312,2024-10-27,Electronics,Electronics,5.0,7500.0,Nigeria
ORD100313,2024-02-26,Fashion,Fashion,1.0,,Turkey
ORD100314,2025-08-22,Groceries,Groceries,,,United States
ORD100315,2025-02-13,Groceries,Groceries,2.0,1000.0,United States
ORD100316,2025-12-18,Groceries,Groceries,1.0,500.0,United States
ORD100317,2024-12-24,Home,Home,4.0,6000.0,United Kingdom
ORD100318,2024-09-09,Groceries,Groceries,3.0,4500.0,nigeria
ORD100319,2024-10-28,electronics,electronics,,,Nigeria
ORD100320,2025-05-31,Electronics,Electronics,2.0,3000.0,United Kingdom
ORD100321,2024-04-27,Home,Home,1.0,1200.0,Turkey
ORD100322,2025-04-23,Electronics,Electronics,1.0,500.0,Ghana
ORD100323,2025-04-18,electronics,electronics,2.0,5000.0,Nigeria
ORD100324,2024-07-21,Electronics,Electronics,3.0,,USA
ORD100325,2024-05-07,Electronics,Electronics,4.0,4800.0,Nigeria
ORD100326,2024-02-28,Electronics,Electronics,3.0,1499.97,United Kingdom
ORD100327,2025-10-12,Home,Home,1.0,1200.0,United Kingdom
ORD100328,2025-05-21,Groceries,Groceries,1.0,500.0,United Kingdom
ORD100329,2024-05-09,Groceries,Groceries,2.0,1000.0,USA
ORD100330,2025-01-03,Electronics,Electronics,2.0,,USA
ORD100331,2025-11-10,Groceries,Groceries,1.0,500.0,Nigeria
ORD100332,2025-07-29,electronics,electronics,1.0,499.99,Turkey
ORD100333,2025-02-15,Home,Home,4.0,1999.96,Turkey
ORD100334,2025-07-11,Groceries,Groceries,4.0,2000.0,United States
ORD100335,2025-06-04,Electronics,Electronics,5.0,2500.0,United Kingdom
ORD100336,2025-09-13,Electronics,Electronics,1.0,1200.0,Nigeria
ORD100337,2025-12-18,Groceries,Groceries,2.0,,United States
ORD100338,2024-06-28,Groceries,Groceries,1.0,1500.0,United States
ORD100339,2024-10-30,Fashion,Fashion,,,Turkey
ORD100340,2024-08-18,Fashion,Fashion,4.0,,Ghana
ORD100341,2026-01-04,Electronics,Electronics,4.0,6000.0,USA
ORD100342,2024-08-16,Groceries,Groceries,2.0,3000.0,Turkey
ORD100343,2025-04-01,Home,Home,1.0,500.0,Turkey
ORD100344,2025-07-18,Electronics,Electronics,,,USA
ORD100345,2024-03-17,Groceries,Groceries,3.0,3600.0,United States
ORD100346,2024-12-16,Groceries,Groceries,,,United States
ORD100347,2024-09-09,Home,Home,2.0,,Nigeria
ORD100348,2025-08-11,Groceries,Groceries,5.0,6000.0,Nigeria
ORD100349,2025-12-30,Home,Home,2.0,3000.0,Turkey
ORD100350,2025-04-04,Home,Home,3.0,7500.0,United Kingdom
ORD100351,2024-03-19,Home,Home,2.0,5000.0,Turkey
ORD100352,,Groceries,Groceries,2.0,1000.0,United States
ORD100353,2024-07-05,Home,Home,2.0,2400.0,Nigeria
ORD100354,2024-05-24,Home,Home,,,Nigeria
ORD100355,2025-01-24,Electronics,Electronics,-1.0,-499.99,USA
ORD100356,2024-03-12,Groceries,Groceries,,,Turkey
ORD100357,2024-07-16,Fashion,Fashion,1.0,500.0,Nigeria
ORD100358,2024-05-18,Fashion,Fashion,1.0,1200.0,Ghana
ORD100359,2025-11-29,electronics,electronics,5.0,7500.0,Nigeria
ORD100360,2025-03-15,Electronics,Electronics,1.0,499.99,Ghana
ORD100361,2024-12-31,Fashion,Fashion,2.0,3000.0,United Kingdom
ORD100362,,Fashion,Fashion,5.0,2499.95,United States
ORD100363,2025-08-23,Fashion,Fashion,3.0,7500.0,nigeria
ORD100364,2025-07-05,Home,Home,5.0,2500.0,Nigeria
ORD100365,,Groceries,Groceries,2.0,1000.0,Nigeria
ORD100366,2025-02-18,Fashion,Fashion,2.0,999.98,Turkey
ORD100367,2024-10-02,Groceries,Groceries,-1.0,-1200.0,nigeria
ORD100368,2025-11-29,Groceries,Groceries,3.0,1500.0,United Kingdom
ORD100369,2025-08-10,Electronics,Electronics,2.0,999.98,Nigeria
ORD100370,2025-01-11,Fashion,Fashion,2.0,3000.0,United Kingdom
ORD100371,2024-09-01,electronics,electronics,4.0,4800.0,Nigeria
ORD100372,2025-01-04,Electronics,Electronics,4.0,2000.0,United States
ORD100373,2025-11-15,electronics,electronics,1.0,2500.0,United States
ORD100374,2025-08-11,Electronics,Electronics,,,Nigeria
ORD100375,2025-10-03,electronics,electronics,-1.0,-2500.0,Turkey
ORD100376,2026-02-15,Groceries,Groceries,2.0,,USA
ORD100377,2025-11-20,Groceries,Groceries,1.0,499.99,Nigeria
ORD100378,2024-04-10,electronics,electronics,-1.0,-1200.0,nigeria
ORD100379,2024-05-22,Electronics,Electronics,2.0,2400.0,Nigeria
ORD100380,2024-07-17,Electronics,Electronics,3.0,1499.97,Turkey
ORD100381,2025-09-17,Home,Home,1.0,1500.0,nigeria
ORD100382,2024-04-26,Electronics,Electronics,1.0,1200.0,United States
ORD100383,2025-02-08,Groceries,Groceries,2.0,2400.0,nigeria
ORD100384,2024-08-27,Home,Home,4.0,,USA
ORD100385,2024-06-02,Fashion,Fashion,5.0,7500.0,United States
ORD100386,2024-10-26,Home,Home,2.0,3000.0,United Kingdom
ORD100387,2025-01-03,electronics,electronics,4.0,6000.0,USA
ORD100388,,Electronics,Electronics,4.0,4800.0,Ghana
ORD100389,2024-02-23,Groceries,Groceries,4.0,1999.96,Turkey
ORD100390,2024-05-08,Electronics,Electronics,1.0,1200.0,Turkey
ORD100391,2024-09-16,electronics,electronics,5.0,6000.0,United Kingdom
ORD100392,2024-10-09,electronics,electronics,2.0,999.98,United Kingdom
ORD100393,2024-07-29,Home,Home,5.0,2499.95,Nigeria
ORD100394,2024-08-12,Electronics,Electronics,4.0,1999.96,nigeria
ORD100395,2024-12-05,Fashion,Fashion,-1.0,-499.99,United Kingdom
ORD100396,2025-09-18,Fashion,Fashion,1.0,500.0,Ghana
ORD100397,2025-01-18,Groceries,Groceries,2.0,2400.0,Nigeria
ORD100398,2024-11-03,Groceries,Groceries,,,Turkey
ORD100399,2025-08-11,Electronics,Electronics,1.0,1200.0,Nigeria
ORD100400,2024-07-16,Electronics,Electronics,3.0,7500.0,United States
