order_date,total_sales,total_qty,n_orders
2024-05-03,3000.0,2.0,1
2024-05-04,500.0,1.0,1
2024-05-05,4800.0,4.0,2
2024-05-06,499.99,1.0,1
2024-05-07,11300.0,7.0,3
2024-05-08,1200.0,1.0,1
2024-05-09,11499.98,11.0,5
2024-05-10,1000.0,2.0,1
2024-05-12,7400.0,6.0,4
2024-05-13,2200.0,3.0,2
2024-05-14,2000.0,4.0,1
2024-05-16,5900.0,5.0,3
2024-05-17,14500.0,12.0,3
2024-05-18,2700.0,2.0,2
2024-05-19,1000.0,2.0,1
2024-05-21,499.99,1.0,1
2024-05-22,3400.0,4.0,2
2024-05-23,3600.0,3.0,1
2024-05-25,5299.99,5.0,2
2024-05-26,1200.0,1.0,1
2024-05-27,4800.0,4.0,2
2024-05-28,2500.0,1.0,1
2024-05-30,5500.0,3.0,2
2024-06-01,7000.0,10.0,3
2024-06-02,7500.0,5.0,1
2024-06-03,2400.0,2.0,1
2024-06-04,4500.0,5.0,2
2024-06-05,7000.0,7.0,3
2024-06-06,2700.0,2.0,2
2024-06-07,500.0,1.0,1
2024-06-08,16300.0,9.0,3
2024-06-09,500.0,1.0,1
2024-06-10,5500.0,3.0,2
2024-06-11,3199.96,5.0,2
2024-06-12,12000.0,6.0,2
2024-06-13,500.0,1.0,1
2024-06-15,4499.96,5.0,2
2024-06-16,6999.97,14.0,4
2024-06-17,2400.0,2.0,1
2024-06-18,3500.0,3.0,2
2024-06-19,5500.0,5.0,2
2024-06-20,11500.0,9.0,3
2024-06-23,9000.0,4.0,3
2024-06-24,4900.0,3.0,2
2024-06-25,1500.0,3.0,1
2024-06-27,12999.99,6.0,2
2024-06-28,8799.99,10.0,6
2024-06-29,2400.0,2.0,1
2024-06-30,1000.0,2.0,1
2024-07-01,1000.0,2.0,1
2024-07-03,6599.97,9.0,3
2024-07-04,7299.95,9.0,2
2024-07-05,13500.0,10.0,3
2024-07-06,8000.0,4.0,3
2024-07-07,2500.0,5.0,1
2024-07-08,499.99,1.0,1
2024-07-09,3200.0,5.0,2
2024-07-10,11399.97,8.0,5
2024-07-11,1200.0,1.0,1
2024-07-12,1500.0,3.0,2
2024-07-13,1000.0,2.0,1
2024-07-14,11200.0,11.0,3
2024-07-15,999.99,2.0,2
2024-07-16,22499.95,19.0,6
2024-07-17,6499.889999999999,13.0,5
2024-07-18,6000.0,5.0,1
2024-07-19,7500.0,5.0,3
2024-07-20,5499.95,7.0,3
2024-07-21,3000.0,6.0,2
2024-07-22,28500.0,14.0,3
2024-07-23,12000.0,10.0,3
2024-07-24,2999.9700000000003,4.0,2
2024-07-26,7100.0,6.0,3
2024-07-28,1999.97,4.0,3
2024-07-29,3499.95,7.0,2
2024-07-30,20999.97,16.0,4
2024-07-31,2999.96,6.0,3
2024-08-01,3000.0,2.0,1
2024-08-03,499.99,1.0,1
2024-08-04,2499.95,5.0,1
2024-08-06,4500.0,3.0,1
2024-08-07,2199.98,3.0,2
2024-08-08,7500.0,8.0,3
2024-08-09,10500.0,5.0,2
2024-08-10,6000.0,4.0,2
2024-08-12,3499.9300000000003,7.0,2
2024-08-13,8500.0,9.0,4
2024-08-14,3699.95,6.0,2
2024-08-15,12499.95,9.0,2
2024-08-16,4000.0,4.0,2
2024-08-17,11399.97,12.0,5
2024-08-18,5100.0,4.0,2
2024-08-19,5700.0,4.0,2
2024-08-20,6400.0,10.0,3
2024-08-22,7600.0,9.0,3
2024-08-23,10499.99,9.0,3
2024-08-24,21099.95,14.0,5
2024-08-25,10599.89,17.0,5
2024-08-26,7999.99,8.0,3
2024-08-27,4100.0,4.0,2
2024-08-29,1200.0,1.0,1
2024-08-30,1999.97,4.0,2
2024-09-01,4800.0,4.0,1
2024-09-02,9900.0,7.0,3
2024-09-03,8400.0,6.0,2
2024-09-04,4900.0,7.0,2
2024-09-06,7500.0,3.0,1
2024-09-07,14999.96,14.0,4
2024-09-08,14500.0,14.0,5
2024-09-09,8499.96,9.0,4
2024-09-10,19000.0,10.0,5
2024-09-11,2900.0,3.0,2
2024-09-12,2500.0,1.0,1
2024-09-13,1000.0,2.0,1
2024-09-14,500.0,1.0,1
2024-09-16,23500.0,14.0,4
2024-09-17,2899.99,3.0,2
2024-09-18,9600.0,7.0,2
2024-09-19,3000.0,2.0,2
2024-09-20,8699.970000000001,9.0,3
2024-09-22,8900.0,7.0,3
2024-09-23,2400.0,2.0,1
2024-09-24,3700.0,2.0,2
2024-09-27,9000.0,6.0,2
2024-09-28,12800.0,13.0,5
2024-09-29,1200.0,1.0,1
2024-09-30,2900.0,3.0,2
2024-10-01,6000.0,4.0,1
2024-10-02,8499.98,5.0,3
2024-10-03,2400.0,2.0,1
2024-10-04,5000.0,2.0,1
2024-10-05,4500.0,3.0,1
2024-10-06,4600.0,5.0,2
2024-10-07,4500.0,3.0,2
2024-10-08,5500.0,7.0,2
2024-10-09,4599.98,5.0,2
2024-10-11,18999.99,10.0,4
2024-10-12,4999.96,6.0,2
2024-10-14,4500.0,3.0,1
2024-10-15,7499.97,11.0,4
2024-10-16,2500.0,1.0,1
2024-10-17,6000.0,5.0,2
2024-10-19,3700.0,2.0,2
2024-10-20,1200.0,1.0,1
2024-10-21,1500.0,3.0,1
2024-10-22,6500.0,5.0,2
2024-10-24,12400.0,6.0,2
2024-10-25,9000.0,6.0,3
2024-10-26,15699.95,14.0,5
2024-10-27,20000.0,16.0,6
2024-10-28,1200.0,1.0,1
2024-10-30,6500.0,5.0,2
2024-10-31,1200.0,1.0,1
2024-11-01,3000.0,6.0,4
2024-11-02,5999.96,8.0,4
2024-11-03,2400.0,2.0,1
2024-11-04,2499.95,5.0,1
2024-11-05,4800.0,4.0,1
2024-11-06,7800.0,6.0,2
2024-11-07,6500.0,13.0,3
2024-11-08,1000.0,2.0,1
2024-11-10,5499.99,3.0,2
2024-11-12,6499.97,5.0,2
2024-11-13,7499.97,8.0,3
2024-11-14,1500.0,3.0,2
2024-11-15,6000.0,4.0,3
2024-11-16,1200.0,1.0,1
2024-11-17,5099.97,6.0,2
2024-11-18,999.99,2.0,2
2024-11-19,1999.99,4.0,2
2024-11-20,4899.97,7.0,3
2024-11-21,4500.0,3.0,1
2024-11-23,1999.99,2.0,2
2024-11-24,4600.0,5.0,2
2024-11-25,3999.96,6.0,3
2024-11-26,3399.98,4.0,3
2024-11-27,9600.0,8.0,2
2024-11-29,2400.0,2.0,1
2024-11-30,1000.0,2.0,1
2024-12-01,2700.0,2.0,2
2024-12-04,2499.98,3.0,2
2024-12-05,7800.0,6.0,2
2024-12-06,2999.98,6.0,2
2024-12-07,9299.99,9.0,4
2024-12-08,1000.0,2.0,1
2024-12-09,6499.99,7.0,3
2024-12-10,8400.0,7.0,2
2024-12-11,2000.0,4.0,1
2024-12-13,7499.95,9.0,4
2024-12-14,500.0,1.0,1
2024-12-15,8000.0,9.0,2
2024-12-16,7500.0,11.0,3
2024-12-17,1000.0,2.0,1
2024-12-18,3400.0,4.0,2
2024-12-19,6499.99,5.0,2
2024-12-20,2499.99,5.0,3
2024-12-22,10000.0,8.0,2
2024-12-23,2400.0,2.0,1
2024-12-24,6500.0,5.0,2
2024-12-25,4900.0,3.0,2
2024-12-27,500.0,1.0,1
2024-12-28,500.0,1.0,1
2024-12-29,1200.0,1.0,1
2024-12-31,9000.0,6.0,2
2025-01-02,5900.0,9.0,3
2025-01-03,12499.95,15.0,4
2025-01-04,2000.0,4.0,1
2025-01-05,7300.0,9.0,5
2025-01-06,499.99,1.0,1
2025-01-07,500.0,1.0,1
2025-01-08,9900.0,5.0,3
2025-01-09,5699.95,10.0,3
2025-01-10,8100.0,6.0,4
2025-01-11,5400.0,4.0,2
2025-01-12,4599.98,5.0,2
2025-01-13,4800.0,4.0,2
2025-01-14,2500.0,5.0,2
2025-01-15,2400.0,2.0,1
2025-01-16,499.99,1.0,1
2025-01-18,3600.0,3.0,2
2025-01-20,10000.0,6.0,2
2025-01-21,5100.0,6.0,2
2025-01-22,12500.0,5.0,1
2025-01-23,16500.0,12.0,3
2025-01-25,10299.99,7.0,4
2025-01-26,7500.0,5.0,1
2025-01-27,1500.0,1.0,1
2025-01-28,7000.0,10.0,3
2025-01-29,4500.0,5.0,2
2025-01-30,5000.0,6.0,2
2025-01-31,14499.96,9.0,2
2025-02-01,2700.0,4.0,2
2025-02-02,4500.0,3.0,1
2025-02-03,11600.0,12.0,4
2025-02-04,6000.0,5.0,1
2025-02-05,12999.94,10.0,3
2025-02-06,1200.0,1.0,1
2025-02-07,10999.98,6.0,2
2025-02-08,17200.0,10.0,3
2025-02-09,2000.0,4.0,1
2025-02-10,3600.0,3.0,1
2025-02-11,13200.0,9.0,4
2025-02-12,6000.0,5.0,1
2025-02-13,13499.95,11.0,3
2025-02-14,18000.0,14.0,4
2025-02-15,15699.95,15.0,5
2025-02-16,8299.960000000001,11.0,4
2025-02-17,6000.0,4.0,2
2025-02-18,2999.9700000000003,6.0,3
2025-02-19,8299.99,9.0,4
2025-02-20,2499.98,3.0,2
2025-02-21,1200.0,1.0,1
2025-02-22,5399.99,8.0,3
2025-02-23,3500.0,3.0,2
2025-02-24,5000.0,6.0,2
2025-02-25,499.99,1.0,1
2025-02-26,2500.0,5.0,1
2025-02-27,4900.0,7.0,2
2025-02-28,5000.0,2.0,1
2025-03-02,13499.99,7.0,4
2025-03-03,20499.99,9.0,4
2025-03-04,6999.95,8.0,2
2025-03-05,13500.0,7.0,4
2025-03-06,7800.0,6.0,2
2025-03-08,11500.0,10.0,3
2025-03-09,1500.0,3.0,1
2025-03-10,2500.0,1.0,1
2025-03-12,1500.0,3.0,2
2025-03-13,13500.0,9.0,3
2025-03-14,2900.0,3.0,2
2025-03-15,3999.98,4.0,3
2025-03-16,499.99,1.0,1
2025-03-17,499.99,1.0,1
2025-03-18,5100.0,4.0,2
2025-03-19,1200.0,1.0,1
2025-03-20,4899.95,7.0,2
2025-03-21,4099.99,4.0,2
2025-03-22,2400.0,2.0,1
2025-03-23,12500.0,9.0,4
2025-03-24,8700.0,6.0,3
2025-03-25,500.0,1.0,1
2025-03-27,1000.0,2.0,1
2025-03-28,4499.94,9.0,3
2025-03-29,500.0,1.0,1
2025-03-30,500.0,1.0,1
2025-03-31,11500.0,7.0,2
2025-04-01,12999.99,10.0,4
2025-04-02,6399.99,10.0,5
2025-04-03,1200.0,1.0,1
2025-04-04,8499.98,5.0,2
2025-04-05,5000.0,2.0,2
2025-04-06,999.99,2.0,2
2025-04-07,8000.0,4.0,2
2025-04-08,2199.98,3.0,2
2025-04-10,3499.98,3.0,2
2025-04-13,3999.97,8.0,4
2025-04-14,2700.0,2.0,2
2025-04-15,1000.0,2.0,1
2025-04-16,4700.0,4.0,3
2025-04-17,6700.0,8.0,4
2025-04-18,9800.0,6.0,2
2025-04-20,6000.0,8.0,3
2025-04-21,6000.0,5.0,1
2025-04-23,500.0,1.0,1
2025-04-24,4000.0,4.0,2
2025-04-25,11300.0,10.0,3
2025-04-26,1500.0,1.0,1
2025-04-27,21799.98,14.0,5
2025-04-28,500.0,1.0,1
2025-04-29,9500.0,7.0,2
2025-04-30,3700.0,4.0,3
2025-05-04,10000.0,4.0,1
2025-05-05,1200.0,1.0,1
2025-05-06,1500.0,1.0,1
2025-05-07,3000.0,2.0,1
2025-05-08,2400.0,2.0,1
2025-05-09,6700.0,6.0,3
2025-05-10,8000.0,6.0,2
2025-05-11,2000.0,4.0,2
2025-05-13,9999.99,6.0,3
2025-05-14,5500.0,3.0,2
2025-05-15,2499.98,5.0,2
2025-05-16,3500.0,3.0,2
2025-05-18,10000.0,4.0,1
2025-05-19,4000.0,4.0,2
2025-05-21,1000.0,2.0,2
2025-05-22,5000.0,2.0,1
2025-05-23,500.0,1.0,1
2025-05-24,4200.0,3.0,3
2025-05-25,10500.0,7.0,3
2025-05-26,1000.0,2.0,1
2025-05-28,1200.0,1.0,1
2025-05-31,5500.0,3.0,2
2025-06-01,6000.0,4.0,1
2025-06-03,1999.96,4.0,1
2025-06-04,11500.0,11.0,3
2025-06-05,7799.97,8.0,3
2025-06-06,6500.0,9.0,3
2025-06-07,8400.0,7.0,2
2025-06-08,10500.0,5.0,3
2025-06-09,1000.0,2.0,1
2025-06-11,1499.97,3.0,2
2025-06-13,1499.97,3.0,1
2025-06-14,8500.0,9.0,3
2025-06-15,2900.0,3.0,2
2025-06-17,1200.0,1.0,1
2025-06-18,4500.0,3.0,1
2025-06-20,11500.0,13.0,4
2025-06-21,7000.0,6.0,2
2025-06-22,6900.0,5.0,2
2025-06-23,6000.0,5.0,1
2025-06-24,5400.0,4.0,2
2025-06-28,2500.0,5.0,1
2025-06-29,12400.0,6.0,2
2025-07-03,4100.0,4.0,2
2025-07-04,2500.0,1.0,1
2025-07-05,2500.0,5.0,1
2025-07-06,5000.0,6.0,3
2025-07-08,2999.99,6.0,3
2025-07-09,999.98,2.0,1
2025-07-11,3499.9700000000003,7.0,2
2025-07-12,4999.96,6.0,2
2025-07-13,3500.0,3.0,2
2025-07-14,999.98,2.0,1
2025-07-15,2500.0,1.0,1
2025-07-17,1000.0,2.0,1
2025-07-18,18300.0,11.0,4
2025-07-19,13699.97,15.0,5
2025-07-20,1500.0,3.0,1
2025-07-21,7999.97,10.0,4
2025-07-23,2000.0,4.0,1
2025-07-26,2500.0,1.0,1
2025-07-27,6199.96,7.0,4
2025-07-28,5799.98,6.0,4
2025-07-29,15499.94,11.0,3
2025-07-30,1200.0,1.0,1
2025-07-31,4800.0,4.0,1
2025-08-01,499.99,1.0,1
2025-08-03,15899.96,13.0,4
2025-08-04,999.98,2.0,1
2025-08-05,11400.0,8.0,3
2025-08-06,500.0,1.0,1
2025-08-07,23300.0,14.0,3
2025-08-08,12500.0,5.0,1
2025-08-10,8999.98,6.0,3
2025-08-11,12699.99,13.0,5
2025-08-12,1500.0,3.0,1
2025-08-13,499.99,1.0,1
2025-08-14,499.99,1.0,1
2025-08-15,6999.95,8.0,2
2025-08-16,4800.0,4.0,2
2025-08-17,12499.96,13.0,5
2025-08-18,21199.99,14.0,5
2025-08-20,4000.0,6.0,2
2025-08-21,3600.0,3.0,1
2025-08-22,5000.0,6.0,2
2025-08-23,7500.0,3.0,1
2025-08-24,3999.99,4.0,3
2025-08-25,500.0,1.0,1
2025-08-26,13499.95,12.0,4
2025-08-27,1500.0,3.0,1
2025-08-28,34000.0,14.0,4
2025-08-29,9500.0,11.0,4
2025-08-30,10000.0,4.0,1
2025-08-31,3500.0,5.0,2
2025-09-01,22500.0,12.0,5
2025-09-02,3999.98,4.0,2
2025-09-03,8000.0,9.0,3
2025-09-05,3000.0,2.0,1
2025-09-06,11100.0,8.0,2
2025-09-07,4999.99,4.0,2
2025-09-08,7400.0,4.0,2
2025-09-09,7300.0,9.0,3
2025-09-10,5999.99,12.0,4
2025-09-12,500.0,1.0,1
2025-09-13,3600.0,3.0,2
2025-09-14,6999.96,10.0,4
2025-09-15,5600.0,7.0,2
2025-09-16,1200.0,1.0,1
2025-09-17,7700.0,4.0,3
2025-09-18,18000.0,8.0,3
2025-09-19,8799.92,12.0,3
2025-09-20,1500.0,3.0,1
2025-09-21,3000.0,4.0,2
2025-09-22,5000.0,2.0,1
2025-09-23,6999.96,10.0,3
2025-09-24,9000.0,4.0,2
2025-09-25,999.98,2.0,1
2025-09-27,3600.0,3.0,1
2025-09-28,2999.99,6.0,2
2025-09-29,1500.0,3.0,1
2025-09-30,5499.98,5.0,2
2025-10-01,999.98,2.0,1
2025-10-02,7000.0,4.0,2
2025-10-03,3499.99,3.0,2
2025-10-04,15500.0,7.0,2
2025-10-05,16500.0,11.0,4
2025-10-06,7200.0,6.0,2
2025-10-07,7500.0,9.0,4
2025-10-08,1200.0,1.0,1
2025-10-09,5699.97,6.0,3
2025-10-10,2500.0,5.0,1
2025-10-11,6000.0,4.0,2
2025-10-12,11200.0,5.0,2
2025-10-13,5300.0,5.0,3
2025-10-14,6100.0,4.0,2
2025-10-15,4500.0,3.0,2
2025-10-16,2499.95,5.0,1
2025-10-17,2999.98,6.0,2
2025-10-18,5000.0,2.0,1
2025-10-19,8000.0,12.0,4
2025-10-20,14700.0,11.0,3
2025-10-21,1500.0,3.0,1
2025-10-26,13999.95,12.0,4
2025-10-27,6500.0,6.0,2
2025-10-29,12500.0,11.0,3
2025-10-31,500.0,1.0,1
2025-11-02,499.99,1.0,1
2025-11-03,7500.0,5.0,1
2025-11-04,2500.0,5.0,1
2025-11-05,2999.96,6.0,2
2025-11-06,2500.0,1.0,1
2025-11-07,3499.9700000000003,7.0,2
2025-11-08,1499.97,3.0,1
2025-11-09,13700.0,6.0,2
2025-11-10,4499.97,5.0,3
2025-11-11,2500.0,1.0,1
2025-11-12,15000.0,10.0,2
2025-11-13,2000.0,4.0,2
2025-11-14,5000.0,6.0,2
2025-11-15,3700.0,2.0,2
2025-11-16,5000.0,2.0,1
2025-11-17,1500.0,1.0,1
2025-11-18,2500.0,5.0,2
2025-11-19,15499.99,17.0,5
2025-11-20,499.99,1.0,1
2025-11-22,5000.0,6.0,2
2025-11-23,3600.0,3.0,1
2025-11-24,1000.0,2.0,1
2025-11-25,7200.0,6.0,2
2025-11-26,1499.99,3.0,2
2025-11-27,5000.0,2.0,1
2025-11-28,10800.0,8.0,3
2025-11-29,23499.99,19.0,6
2025-11-30,500.0,1.0,1
2025-12-01,14000.0,6.0,3
2025-12-02,500.0,1.0,1
2025-12-05,1999.96,4.0,2
2025-12-06,2000.0,2.0,2
2025-12-07,1999.96,4.0,1
2025-12-08,3500.0,3.0,2
2025-12-10,3000.0,2.0,1
2025-12-11,3499.9300000000003,7.0,2
2025-12-12,2200.0,3.0,2
2025-12-13,500.0,1.0,1
2025-12-14,11100.0,6.0,2
2025-12-16,5000.0,2.0,1
2025-12-17,2499.96,5.0,2
2025-12-18,3999.96,8.0,4
2025-12-19,12300.0,10.0,3
2025-12-20,1500.0,1.0,1
2025-12-21,3600.0,3.0,1
2025-12-22,1000.0,2.0,1
2025-12-23,9000.0,6.0,2
2025-12-24,3999.96,8.0,4
2025-12-25,2700.0,2.0,2
2025-12-26,13200.0,11.0,4
2025-12-28,12900.0,10.0,3
2025-12-30,4000.0,4.0,2
2025-12-31,1499.97,3.0,1
2026-01-01,10800.0,8.0,3
2026-01-02,1000.0,2.0,1
2026-01-03,3600.0,3.0,1
2026-01-04,24300.0,16.0,4
2026-01-05,13999.98,12.0,4
2026-01-06,9000.0,4.0,2
2026-01-08,12500.0,5.0,1
2026-01-09,4900.0,7.0,2
2026-01-11,2999.94,6.0,2
2026-01-12,2400.0,2.0,2
2026-01-15,2400.0,2.0,1
2026-01-16,12500.0,5.0,1
2026-01-17,4499.96,9.0,2
2026-01-19,3899.97,5.0,2
2026-01-20,2500.0,5.0,1
2026-01-21,6000.0,4.0,2
2026-01-22,2000.0,4.0,2
2026-01-23,2000.0,2.0,2
2026-01-24,8499.98,7.0,2
2026-01-25,7400.0,12.0,3
2026-01-26,2999.9700000000003,4.0,2
2026-01-27,1500.0,1.0,1
2026-01-28,9500.0,7.0,3
2026-01-29,4500.0,3.0,1
2026-01-30,3600.0,3.0,1
2026-01-31,13700.0,6.0,2
2026-02-01,4999.96,10.0,3
2026-02-02,4499.97,5.0,2
2026-02-03,3000.0,6.0,2
2026-02-04,1000.0,2.0,2
2026-02-05,3000.0,2.0,1
2026-02-06,2500.0,5.0,2
2026-02-07,3499.98,3.0,2
2026-02-08,6500.0,9.0,3
2026-02-09,2000.0,4.0,1
2026-02-10,4800.0,4.0,1
2026-02-11,1999.96,4.0,1
2026-02-12,12300.0,7.0,2
2026-02-13,8499.99,5.0,3
2026-02-15,1499.99,3.0,2
2026-02-16,2500.0,5.0,1
2026-02-17,2500.0,3.0,2
